VOLTAIRE	VOLTAIRE
Az anabaptista segiteni óhajtott valamit s a fedélzeten tartózkodott; egyszerre csak egy őrjöngő matróz durván meglökte s ő elterült a padozaton.	Ai muốn làm gì thì làm, ai còn sức thì chống trả bão tố; không có ai chỉ huy, không ai nghe lời ai nữa.
De az erős ütéstől, melyet az anabaptistára mért, maga a matróz is annyira előre lendült, hogy fejjel lefelé kibukott a hajóból: megakadt és függve maradt egy törött árboc roncsán.	Jacques phụ tay vào việc lèo lái: ông bị một thủy thủ đang cơn tức giận đánh một đòn, làm cho ông ngã lăn trên đống ván.
A jámbor Jacques segitségére siet, kimenti őt, ámde a nagy iparkodás közben tengerbe pottyan a matróz szeme láttára.	Nhưng trong khi đánh ông thì anh chàng thủy thủ này bị tàu lắc mạnh đến văng ra ngoài, mắc kẹt vào một cột buồm gãy.
Ez veszni hagyja őt anélkül, hogy egy tekintetre is méltatná.	Jacques sẵn lòng từ thiện, chạy đến cứu anh lôi anh lên tàu.
Candide közeledik, észre veszi jóltevőjét, amint egy pillanatra kibukkan a vizből, majd örökre elmerül a hullámokban: utána akar ugrani a tengerbe, de a filozófus Pangloss megakadályozza őt, bebizonyitván, hogy a lisszaboni kikötő egyenesen azért alakult, hogy ott ez az anabaptista megfulladjon.	Vì sự cố gắng quá sức, ông té lăn xuống biển, trước cặp mắt lạnh lùng của tên thủy thủ không thèm ngó ngàng tới ông, để mặc cho ông bị làn sóng dìm xuống biển, chàng Ngây Thơ chạy tới gần ân nhân của chàng, trông thấy ông nổi lên một phút rồi chìm luôn mất dạng, chàng muốn nhảy xuống biển cứu ông nhưng triết gia Pangloss ngăn cản bằng cách biện luận rằng hải cảng Lisbonne đã được lập ra là để cho Jacques phải chết chìm ở đó.
Kissé magukhoz térve Lisszabon felé vették utjukat: volt még néhány garasuk s remélték, hogy ezzel megmenekülnek az éhségtől, miután a vihart már kiállották.	Khi đã hồi tỉnh, họ đi bộ tới thành phố Lisbonne; họ còn một ít tiền, hy vọng rằng khỏi phải chết đói, sau khi đã thoát chết vì bão tố.
A matróz fütyürészve és károm­kodva mondta: "Itt nyerhetünk valamit.	Nhà cửa sập đổ; những mái nhà chồng chất trên nền nhà.
- Vajjon mi lehet az elégséges oka ennek a tünemény­nek?	- Ở đây tất kiếm chác được đây.
- Ez a világ vége, kiáltott fel Candide."	- Đây là ngày tận thế rồi.
adj egy kis bort és olajat, mert különben meghalok.	- Chao ôi, cho tôi chút rượu và dâu, tôi chết mất.
Való­szinüleg egy kén-réteg húzódik el a föld alatt Limától Lisszabonig.	Những nguyên nhân giống nhau đều sinh ra những hậu quả giống nhau; chắc là một luồng diêm sinh chạy ở dưới đất từ Lima đến Lisbonne.
- Ez nagyon valószinü, mondá Candide, de az Istenre kérlek, adj egy kis olajat és bort.	- Có lẽ không gì đúng hơn nữa, chàng Ngây Thơ nói, nhưng vì Chúa, cho tôi chút dâu và rượu.
- Mit?	- Sao cơ, có lẽ là thế nào?
Candide elvesztette az eszméletét, mire Pangloss egy kis vizet hozott neki a közeli forrásból.	Chàng Ngây Thơ nằm bất tỉnh và Pangloss đem đến cho chàng một chút nước lấy ở cái giếng gần bên.
Egy kis fekete ember, az inkvizició megbizottja, ki épen mellette volt, udvariasan átvette a szót és ezt mondá: "Uraságod valószinüleg nem hisz az eredendő bűnben; mert ha minden a legjobban van, akkor nincs se bűnbeesés, se bűnhődés.	- Biến cố này còn khá lắm đó, vì nếu ở đây không có một núi lửa thì ở chỗ khác chắc có một núi lửa đang phun, còn tai hại biết mấy: tất cả mọi việc ở đây còn hơn ở những chỗ khác.
- A legalázatosabban bocsánatot kérek méltóságodtól, mondá Pangloss még udvariasabban; mert hát az ember bűnbeesése és kiátkozása szükségkép hozzátartoznak e lehető legjobb világhoz.	Một người mặc áo đen nhỏ bé, vốn là người quen thuộc với Pháp đình, đứng gần bên Pangloss lễ phép góp ý kiến: - Hình như ông không tin có tội tổ truyền; vì nếu cái gì cũng hoàn hảo hơn thì đâu có sự sa ngã, sự trừng phạt?
- Uraságod tehát nem hisz a szabad akaratban?	Pangloss trả lời một cách lẽ phép hơn:
kérdé az inkvizició bizalmas embere.	- Vậy ngài không tin ở tự do hay sao?
- Méltóságod meg fog nekem bocsá­tani, mondá Pangloss: szabad akarat létezhetik a feltétlen szabadság mellett is; mert elkerül­he­tetlenül szükséges volt, hogy szabadok legyünk, mert végül az akarat meg lévén határozva..."	- Xin ngài tha lỗi cho tôi; tự do có thể tồn tại với sự cần thiết tuyệt đối; chúng ta cần phải được tự do, vì ý chí quyết liệt…
Pangloss még be sem fejezte beszédét, midőn az inkvizició embere jelt adott szolgájának, ki a portoi és oportoi borokat töltögette.	Pangloss chưa dứt câu thì người kia đã hất hàm ra hiệu cho tên hầu cận đeo khí giới đang hầu rượu Porto hay Oporto cho ông ta.
HATODIK FEJEZET.	Chương VI
Ünnepélyesen máglyát raknak, hogy eretnek-égetéssel	Vụ động đất này đã thiêu rụi ba phần tư thành phố Lisbonne.
akadályozzák meg a földrengést; Candide-ot megbotozzák.	Đó là bí quyết hiệu nghiệm ngăn cản động đất.
A földrengés után, mely Lisszabon városát háromnegyed részben eltemette, az ország bölcsei nem tudtak hathatósabb módot kitalálni a teljes pusztulás elkerülésére, minthogy egy szép eretnek-égetést rendeznek a nép megnyugtatására.	Vì thế họ bắt một người ở Biscaye bị cáo là lấy người mẹ nuôi mình và hai người Bồ Đào Nha đã ăn thịt gà mà bỏ mỡ.
A Coimbre-i tudományegyetem megálla­pitotta, hogy néhány személynek fényes szertartások között, lassu tűzön való elégetése csalhatatlan titka annak, hogy a földrengést megakadályozzák.	Sau bữa cúng kiến người ta trói triết gia Pangloss cùng với đồ đệ của ông ta là chàng Ngây Thơ; một người phạm tội đã nói triết lí, còn một người đã nghe với vẻ tán thành.
Candide ijedten, a félelemtől csaknem eszét vesztve, vérbe boritottan, remegő szívvel mondá magában: "Ha ez az elgondolható legjobb világ, milyen lehet a többi?	Pangloss bị án thắt cổ dù rằng đó không phải là tập quán. Cùng ngày hôm ấy lại có động đất xảy ra với những tiếng đổ vỡ ghê sợ.
Az még csak hagyján, hogy engem megbotoztak, megtették ezt már a bulgárok is; de szegény drága Panglossom, a filozofusok legnagyobbika, mért kellett téged felakasztva látnom a nélkül, hogy tudnám az okát!	Chàng Ngây Thơ máu me đầy người, hoảng hốt, phập phồng lo sợ, lại bị giam cầm, lòng tự hỏi lòng: "Nếu mọi việc đều hoàn thiện hơn như ở đây thì ở những nơi khác ra sao?
Drága anabaptistám, emberek legjobbika, miért kellett látnom, hogyan fulladtál meg a kikötőben!	Khi ta gặp những người Bảo Gia Lợi, ta đã bị đánh đòn, việc ấy còn có thể bỏ qua được.
Ó, Kunigunda, leányok gyöngye, miért lettél te kéjgyilkos­ság áldozata."	Còn cô Cunégonde nữa, hòn ngọc trong giới thiếu nữ, sao cô lại bị người ta mổ bụng?"
Visszatántorodott: alig tudott a lábán megállni; agyonprédikálták, megbotozták, feloldották kötelékeit és megáldották, midőn egyszerre egy öreg asszony surrant hozzá s ezt sugta fülébe: "Fiam, légy bátor és kövess."	Chàng quay đi, đứng không vững, sau khi được nghe thuyết giáo, bị đánh đòn, được tha tội và ban phước, thì có một bà già đến hỏi chuyện chàng và bảo:
HETEDIK FEJEZET.	- Con ơi!
Hogyan gondoskodik Candide-ról egy öreg asszony;	Hãy can đảm và đi theo ta.
Csak dörzsöld magadat a kenőccsel, egyél és aludjál."	Ngày mai ta sẽ trở lại đây".
Candide szerencsétlensége dacára is evett és aludt.	Chàng Ngây Thơ dù đau đớn vẫn có thể ăn ngon ngủ kỹ.
Másnap az öreg asszony reggelit hozott neki, megtapogatta a vállát és sajátkezüleg bedörzsölte egy másfajta kenőcscsel: azután ebédet hoz neki s végül este is visszajön, hogy vacsorával lássa el.	Hôm sau bà già đem bữa điểm tâm cho chàng, thăm lại lưng chàng, tự tay bôi cho chàng một thứ thuốc khác; kế đến bà còn đem bữa ăn trưa và bữa ăn tối cho chàng nữa.
Harmadnapra megismételte ugyanezt az eljárást.	Những hôm sau nữa, bà lại làm đúng như vậy, không thiếu thứ gì.
"Ki vagy te, kérdé folyton Candide: ki oltott szivedbe ennyi jóságot?	Chàng Ngây Thơ hỏi bà: "Bà là ai mà có lòng tốt như vậy?
Hogyan hálálhatom meg mindezt?" A jóságos asszony sohasem felelt semmit: egy este ismét visszajött és ezuttal nem hozott vacsorát.	Tôi biết trả ơn sao đây?" Người phụ nữ tốt bụng không bao giờ trả lời.
"Jöjj velem, mondá és ne szólj egy szót sem." Karonfogja, átvezeti a mezőségen körülbelül negyed mértföldnyire, egy magányosan álló, kertektől és öntöző csatornáktól körülvett házhoz.	Một buổi tối bà lại đến, nhưng không đem theo bữa ăn mà chỉ bảo chàng: "Con hãy đi theo ta và đừng nói nửa lời".
Az öreg asszony kopogtat a kis kapun; kinyitják; elvezeti Candide-ot egy arannyal diszitett terembe, leülteti egy selyempamlagra, rázárja az ajtót és elmegy.	Bà dìu cánh tay chàng cùng đi với chàng một đoạn đường đến một vùng thôn quê lân cận.
Az öreg asszony csakhamar ujra megjelent, nagy fáradsággal támogatva egy remegő, fenséges termetü, drágakövekkel feldiszitett és lefátyolozott nőt.	Bà dẫn chàng Ngây Thơ lên một cái thang tới một căn phòng cẩn vàng, bảo chàng ngồi xuống một cái ghế dài lót nhung lụa.
"Huzd félre a fátyolt," mondá az öregasszony Candide-nak.	Rồi bà đi ra ngoài, khép cửa lại.
Mily meglepetés!	Thì ngạc nhiên thay!
Kunigundát vélte látni; valóban őt látta, mert ő volt az.	Chàng tưởng nằm mộng, thấy cô Cunégonde, chàng nhìn rõ thì chính là cô ta.
Ereje elhagyja és némán a lábai elé roskad, Kunigunda pedig a pamlagra hanyatlik.	Chàng không còn đủ sức đứng vững nữa, không còn nói được một lời nào, chỉ quỳ phục xuống.
Az öreg asszony azt tanácsolja nekik, hogy csendesebben legyenek és magukra hagyja őket.	Bà già bảo hai người đừng gây tiếng động, rồi bà để cho họ nói chuyện tự do.
"Hogyan?	- Sao?
Hát csakugyan te vagy itt!?	Cô chưa chết à?
- mondá Candide; te élsz és itt vagy Portugáliában?	Tôi gặp lại được cô ở Bồ Đào Nha sao!
Hát nem becstelenitettek meg s nem metszették fel a hasadat, mint a filozófus Pangloss állitotta?	Người ta không hiếp dâm cô, không mổ bụng cô như lời triết gia Pangloss đã nói với tôi sao?
- De igen, felelte a bájos Kunigunda; de e két baleset nem okvetlenül halálos.	- Có chuyện ấy, nhưng người ta không phải bao giờ cũng chết do hai tai biến này.
- És atyádat, anyádat igazán megölték?	- Còn thân phụ và thân mẫu cô có bị giết chứ?
- Meg bizony, mondá Kunigunda zokogva.	- Việc đó có thật, cô vừa đáp vừa khóc.
- És a bátyád?	- Còn anh cô thì sao?
- Őt is megölték.	- Anh tôi cũng bị giết chết.
- És hogyan kerülsz Portugáliába? Honnan tudtad, hogy én itt vagyok?	- Tại sao cô tới được nước Bồ Đào Nha?
Mily különös varázslattal juttattál ebbe a házba?	Sao cô biết tôi ở đây mà cho kêu tôi đến căn nhà này?
- Mindent el fogok mesélni, válaszolt a nő; de először neked kell elmesélned mindent, ami amaz ártatlan csók és az elszenvedett rugások óta történt veled."	- Tôi sẽ nói tất cả cho anh hay, nhưng trước hết anh phải cho tôi biết tất cả những gì đã xảy ra cho anh từ lúc anh tặng tôi cái hôn vô tội, rồi anh bị đá đít đuổi đi.
NYOLCADIK FEJEZET.	Chương VIII
Kunigunda története.	CÂU CHUYỆN VỀ CÔ CUNÉGONDE
Istenem!	- Ồ!
Remélem, hogy megláthatom - mondá naivul Candide.	Làm sao tôi coi được vết sẹo ấy.
Meg fogod látni, mondá Kunigunda; de hadd folytassam.	Chàng Ngây Thơ nói một cách khờ khạo.
- Folytasd, mondá Candide."	- Thì kể tiếp đi.
Kunigunda ujból felvette az elbeszélés fonalát:	Ông ta thấy tôi có nhan sắc; phải nhìn nhận điều ấy.
"Aztán egy fiatal ember lépett be; látta, hogyan fekszem ott vérbe boritva, de a katonát ez egy cseppet sem feszélyezte.	Tôi cũng thấy ông ta dễ thương và màu da trắng dịu; song ông ta không giỏi triết lí và không được thông minh cho lắm.
A kapitány haragra lobbant a gazfickó tiszteletlensége miatt és testemen ölte őt meg; aztán bekötöztette sebeimet és hadifogolyként vitetett szállására.	Sau ba tháng ăn xài đã hết tiền và đã chán tôi, ông ta bán tôi làm nô lệ cho một người Do Thái tên Issacar, từng buôn bán đầu cơ ở Hà Lan và ở Bồ Đào Nha, một người có tật yêu thiết tha đàn bà.
Három hónap mulva, miután eljátszotta mind a pénzét és rám is unt, eladott egy don Issacar nevü zsidónak, ki Hollandiában és Portugáliában kereskedett és aki szenvedélyesen szerette a nőket.	Tên Do Thái muốn chinh phục tôi mới dẫn tôi về tòa nhà vùng nông thôn, tức là tòa nhà hiện nay tôi ở. Từ trước đến giờ tôi vẫn tưởng lâu đài thân phụ tôi là đẹp nhất trần gian, nhưng tôi đã lầm!
A zsidó nagyon ragaszkodott hozzám, de nem tudott rajtam diadalmaskodni; neki jobban ellentálltam, mint a bulgár katonának; egyszer meg lehet becsteleniteni egy nőt, de erénye annál jobban megszilárdul.	"Một hôm vị quan tôn giáo Pháp đình gặp tôi đi lễ nhà thờ, ông cho người đến mời tôi về nhà nói chuyện bí mật.
A zsidó, hogy megpuhitson, ebbe a falusi villába hozatott.	Tôi được dẫn về tòa lâu đài của ông.
Eddig abban a hitben voltam, hogy nincs szebb a világon, mint Thunder-ten-tronckh báró kastélya; bevallom: csalódtam.	Trong khi nói chuyện, tôi cho ông biết tông chi của tôi thuộc về dòng dõi quyền quý.
Egyszer a nagy inkvizitor észrevett a misén; sokáig kacsintgatott rám s megizente, hogy titkos beszélni valója van velem.	Ông liền thuyết phục tôi, cho tôi hay rằng lấy một anh Do Thái là hạ thấp danh giá của tôi biết chừng nào!
Palotájába vittek; feltártam neki születésemet; ő meg azt bizonyitgatta, hogy nagyon is méltóságomon aluli, hogy egy zsidónak legyek a szeretője; ajánlatot tett don Issacarnak, hogy engedjen át neki.	Ông cho người đi đến gặp Issacar, người Do Thái đã mua tôi làm nô lệ, để khuyên anh này nhường tôi lại cho ông.
Don Issacar, ki udvari bankár s mint ilyen, nagy tekintélyü ember, hallani sem akart a dologról.	Anh Issacar là chủ ngân hàng của triều đình, có thế lực, nên không chịu.
Az inkvizitor máglyával fenyegetődzött.	Ông quan bèn dọa sẽ làm tội hỏa thiêu anh ta.
Hat hónapja van érvényben ez az egyezség.	Nhưng không phải được trơn tru êm ấm.
Igaz, hogy voltak civakodások is; mert gyakran nem tudták eldönteni, vajjon a szombatról vasárnapra virradó éjjel a régi vagy uj birtokost illeti-e. Ami engem illet, mindkettőnek ellenálltam s azt hiszem, ennek tulajdonit­hatom, hogy változatlanul szeretnek.	Cũng có những chuyện xung đột xảy ra vì một chi tiết đã không được dự trù trước; bởi vì không biết được là đêm thứ Bảy đến ngày Chủ nhật thuộc về luật cũ hay luật mới nên cũng chẳng biết nó thuộc về của ai.
Végül, hogy a földrengést elháritsa és Don Issacart meg­félemlitse, elhatározta az inkvizitor ur, hogy eretnek égetést rendez.	Về phần tôi, tôi kháng cự cả hai người cho đến bây giờ và có lẽ vì thế mà tôi được cả hai người yêu tôi tha thiết.
Megdörzsöltem szemeimet, majd figyelmesen néztem őt és láttam, amint felakasztották; ekkor ájultan estem össze.	Nhưng tôi bỗng ngạc nhiên, bối rối, kinh hãi biết bao khi thấy một người giống như Pangloss tiên sinh, mặt bị che lấp bởi cái mũ ma quỷ.
Alig tértem magamhoz, midőn téged láttalak meg teljesen meztele­nül; ekkor már a borzalomnak, meglepetésnek, a fájdalomnak, kétségbeesésnek tetőpontjára jutottam.	Tôi dụi mắt nhìn kỹ thì thấy người ấy bị thắt cổ; tôi rùng rợn té xỉu; khi tỉnh lại, thì tôi lại thấy anh bị lột trần, thật vô cùng kinh khủng, hãi hùng, đau đớn, tuyệt vọng.
Miközben téged alaposan megbotoztak, azt kérdezgettem magamtól: hogyan lehetséges az, hogy a szeretetreméltó Candide és a bölcs Pangloss Lisszabonba kerülnek, az egyik, hogy száz kor­bácsütést kapjon, a másik, hogy a főinkvizitor méltóságának, az én szeretőmnek parancsára felakasztassék.	Tôi tự hỏi: "Tại sao chàng Ngây Thơ yêu dấu và tiên sinh Pangloss lại bị lưu đày đến Lisbonne để mà ngày nay chịu thảm họa như thế này, người thì bị đánh trăm roi, người thì bị treo cổ theo lệnh ngài pháp quan, là người yêu quý mình?
Pangloss tehát kegyetlenül megcsalt engem, midőn azt állitotta, hogy minden legjobb a világon.	Hay là Pangloss tiên sinh đã lừa tôi một cách tàn ác, khi ông bảo tôi rằng: "Cứ yên tâm, mọi việc rồi sẽ tốt hơn."
Hálát adtam Istennek, ki annyi megpróbáltatás után visszavezérelt téged.	Tôi xúc động nhất là lúc thầy Pangloss bị hình tội và anh thì bị xử đánh.
Megparancsoltam az öreg asszonynak, hogy viselje gondodat és vezes­sen ide, ameddig ez lehetséges.	Tôi mơ tưởng lại cái hôn anh đã tặng tôi lần đầu, sau bức bình phong, trong cái ngày gặp anh lần chót.
Itt lelte őket don Issacar, a nyári lak egyik tulajdonosa.	Nhưng bây giờ chắc anh đói lắm rồi, tôi cũng đang rất đói.
Szombat volt; eljött, hogy jogait élvezze és gyöngéd szerelmét tolmácsolja.	Chúng ta hãy bắt đầu ăn uống đã".
KILENCEDIK FEJEZET.	Thế là hai người ngồi vào bàn ăn.
Mi történt Kunigundával, Candide-dal, a nagy inkvizitorral és a zsidóval?	Sau bữa ăn, họ lại ra ghế trường kỷ ngồi nói chuyện.
Ez az Issacar egyike volt a legharagosabb hébereknek, akik csak éltek eddig Izraelben a babyloni fogság óta.	Đang nói chuyện thì họ thấy người Do Thái Issacar, một trong hai vị chủ nhà, bước vào.
"Mit?	Chương IX
Ámde a mi derék westphaliai barátunk a ruházattal együtt egy szép kardot is kapott az öreg asszonytól.	Y la lớn: "Đồ chó cái Galilée, mi đã chia sẻ mối tình với tên quan tòa của tôn giáo Pháp đình còn chưa đủ sao?
Kardot rántott, ámbár egyébként a legszelidebb természetü volt s a következő pillanatban az izraelita holtan terült el a szép Kunigunda lábainál.	Chàng liền rút kiếm, dầu tính tình chàng hiền lành bấy lâu nay; chàng đâm tên Do Thái chết nằm sóng sượt trên sàn nhà, dưới chân cô Cunégonde.
"Szent szüz anyánk!	Cô la lên: "Đức Mẹ ơi!
- kiáltott a leány; mi lesz velünk?	Chúng ta sẽ ra sao đây?
Egy embert öltél meg nálam!	Một người bị giết tại nhà tôi!
Ha a rendőrség belép, el vagyunk veszve.	Nếu công lý can thiệp thì chúng ta nguy mất!"
- Ha Panglosst nem akasztották volna fel, szólt Candide, biztosan jó tanácsot adna ebben a nehéz helyzetben, mert ő nagy filozófus volt.	Chàng Ngây Thơ đáp: - Nếu triết gia Pangloss không bị treo cổ thì ông đã giúp cho chúng ta một lời chỉ bảo trong trường hợp cực đoan này, vì ông là một nhà đại hiền triết.
Éjfél után egy óra volt, a vasárnap kezdete: ez a nap már az inkvizítor urat illette.	Lúc ấy là một giờ đêm, kể như bắt đầu ngày chủ nhật, là ngày của ngài pháp quan.
Belép és ott látja a megbotozott Candide-ot karddal kezében, egy halottal a földön elterülve, Kunigundát halálra rémülve és az öreg asszonyt, amint tanácsokat osztogat.	Ngài bước vào trong phòng; trông thấy chàng Ngây Thơ tay cầm đoản kiếm; dưới đất một tử thi nằm dài; cô Cunégonde sợ hãi, còn bà già thì đang lý luận, cho ý kiến.
Ebben a pillanatban ily gondolatok cikáztak át Candide agyában: "Ha ez a szent ember most segitségért kiált, kétségtelenül máglyára fog hurcoltatni.	Lúc này chàng Ngây Thơ suy luận: "Nếu ông lớn này mà kêu lên thì chắc chắn ông ta có thể làm cho ta bị xử hỏa thiêu; cô Cunégonde cũng sẽ có thể chịu chung số phận như ta.
Kunigundának is ez lenne a sorsa.	Ông ta đã từng cho đánh ta tàn nhẫn.
Szivtelenül megkorbácsoltatott; ezenfelül vetélytársam is; megölöm őt habozás nélkül." Ez az okoskodás világos és gyors volt; és időt sem engedve az inkvizítornak arra, hogy magához térjen meglepetéséből, keresztül szurja és odalöki a zsidó mellé.	Ta lại là kẻ tình địch của ông, không cần do dự gì nữa." Suy luận vắn tắt và mau lẹ, chàng không để cho ông quan tòa qua khỏi cơn ngạc nhiên; chàng đâm cho ông một nhát kiếm từ bên này qua bên kia bụng, và đẩy tử thi nằm bên cạnh tên Do Thái.
"Ime itt a másik is, mondá Kunigunda.	Cunégonde liền nói: "Lại thêm một cái chết nữa.
Nem lehet már szó megkegyelmezésről; meg vagyunk átkozva, elérkezett utolsó óránk.	Chúng ta phải đi xa nơi này; giờ chót của chúng ta đã tới.
Hogyan voltál rá képes te, ki oly gyöngédnek születtél, hogy két perc alatt megölj egy zsidót és egy főpapot?	Em không hiểu tại sao anh bẩm sinh là người nhu mì mà nay lại có thể trong hai phút giết một người Do Thái và một ông tòa?"
- Kedvesem, felelé Candide, ha az ember szerelmes, féltékeny és megvesszőztetésen ment át, akkor nem ismer többé magára."	Chàng Ngây Thơ trả lời: "Khi người ta si tình và ghen tuông, sau khi bị pháp luật đánh đòn đau đớn, thì người ta không còn biết gì nữa!"
Ekkor az öreg asszony szólalt meg: "Három andaluziai ló van az istállóban, felnyergelve és kantározva.	Bà già cất tiếng bảo cả hai người: "Hiện nay có ba con ngựa giống tốt trong chuồng ngựa, sẵn sàng yên cương.
Candide tüstént felkantározta a három lovat és Kunigunda, az öreg asszony meg ő harminc mérföldet tesznek meg egy huzamban.	Chàng Ngây Thơ đưa ba con ngựa ra; chàng cùng bà già và cô Cunégonde cưỡi ngựa đi một mạch ba mươi dặm.
Mialatt ők szöknek, a szent Hermandad megérkezik a nyári lakba: őméltóságát egy szép templomban temetik el és Issacart a szemétdombra vetik.	Trong khi họ đang cao chạy xa bay thì hội thánh Sainte-Hermandad đến ngôi nhà, người ta mai táng đức ngài trong một nhà thờ đẹp, còn thì người ta ném tên Issacar ra bãi rác.
Candide, Kunigunda és az öreg asszony már a kis Avacena városkában voltak, a Sierra-Morena hegységei között és igy beszélgettek egy korcsmában:	Cả ba người đã tới tỉnh nhỏ Avacéna, ở giữa vùng núi Sierra Morena và vào cư ngụ ở một quán trọ.
TIZEDIK FEJEZET.	Chương X
Mily nyomoruságos helyzetbe jutnak Candide, Kunigunda	BA NGƯỜI XUỐNG TÀU VƯỢT BIỂN
és az öreg asszony Cadixban; hogyan szállnak hajóra.	Tại quán trọ, cô Cunégonde vừa nói vừa khóc:
"Vajjon ki lophatta el aranyaimat és gyémántjaimat?	- Ai đã ăn cắp ngọc vàng và kim cương của tôi nè?
Hol találok még egy inkvizítort és még egy zsidót, ki ismét pénzhez juttat?	Đâu còn kiếm ra được người giàu có như anh Do Thái và ông quan tòa ấy, để tặng lại cho tôi những bảo vật khác nữa?
- Istenem!	- Than ôi!
sóhajtott az öreg asszony, erősen gyanakodom egy tisztelendő atyára, ki tegnap Badajozban velünk egy korcsmában lakott.	Bà già nói, tôi rất nghi ngờ ông linh mục dòng François, đêm qua cùng ngủ trọ với chúng ta trong cùng một quán ở Badajoz.
Isten őrizzen meg attól, hogy elhamarkodott itéletet mondjak, de amaz kétszer is bejött szobánkba és sokáig együtt jött velünk.	Tôi không dám ức đoán một cách táo bạo, nhưng tôi thấy ông ta vào phòng chúng ta hai lần và ông ta rời quán trọ trước chúng ta khá lâu.
- Istenem, sóhajtott Candide, a jó Pangloss gyakran bizonyitgatta, hogy a föld javai közös tulajdonaink, hogy mindenkinek egyenlően van joga hozzájok.	- Tôi còn nhớ, chàng Ngây Thơ nói, triết gia Pangloss thường chứng minh rằng tất cả của cải trên cõi đời đều là của chung cho mọi người, ai cũng có quyền hưởng ngang nhau.
De ezen elvek értelmében a barátnak meg kellett volna annyit hagynia, hogy legyen miből folytatnunk az utazásunkat.	Theo nguyên tắc ấy, thì ông linh mục phải để lại cho chúng ta một phần của cải, để chúng ta hoàn tất cuộc hành trình của chúng ta.
Tehát semmid sem maradt, kedves Kunigundám?	Nhưng nay chẳng còn gì hết cả, phải chăng cô Cunégonde xinh đẹp của tôi?
- Egy árva fillérem se, mondá a leány.	- Không còn một xu nhỏ. Cô đáp.
- Mihez fogjunk hát?	- Vậy thì phải làm sao đây?
kérdé Candide.	chàng hỏi.
- Adjuk el az egyik lovat, mondá az öreg asszony; én a kisasszony mögött fogok guggolni, ámbár csak az egyik ülepemen tudok ülni s igy majd eljutunk Cadixba."	- Chúng ta hãy bán một trong ba con ngựa của chúng ta, bà già bàn vậy.
Ugyane szálláson volt egy benedekrendi rendfőnök, ez jó olcsón megvette a lovat.	Tôi sẽ ngồi trên con ngựa của cô nương, sau lưng cô và chúng ta sẽ tới Cadix.
Candide, Kunigunda s az öreg asszony átmentek Lucenan, Chillason, Lebrixán s végre Cadixba érkeztek.	Tại quán trọ, lúc ấy có một tu viện trưởng dòng Thánh Benoit nhận mua con ngựa với giá rẻ.
Tehát kapitány lett; hajóra száll Kunigundával, az öreg asszonnyal, két szolgával s a két andaluziai lóval, mely azelőtt Portugália nagy inkvizitorának a tulajdona volt.	Chàng xuống tàu với cô Cunégonde, bà già, cùng hai người hầu cận và hai con ngựa giống tốt mà chàng đã lấy của ngài pháp quan Bồ Đào Nha.
A hajózás alatt sokat gondolkoztak a szegény Pangloss filozófiáján.	Trong khi vượt biển, ba người bàn luận về triết lý của Pangloss.
"Más világ felé evezünk, mondá Candide.	Chàng Ngây Thơ nói:
Ebben az uj világban biztosan minden jól van; mert azt meg kell adni, hogy a mi világunknak ugy fizikai, mint erkölcsi állapota sok panaszra ad okot.	- Chúng ta sắp đến một thế giới khác; có lẽ tại đó tất cả mọi việc đều hoàn hảo.
- Szivemből szeret­lek, mondá Kunigunda; de a lelkem még teljesen meg van rendülve mindattól, amit láttam és tapasztaltam.	Vì chúng ta phải nhận rằng trong thế giới của chúng ta, người ta phải than phiền một chút về phương diện vật chất và tinh thần.
- Adja Isten, hogy ugy legyen!	- Mọi việc sẽ tốt hơn, chàng Ngây Thơ cãi lại.
- Még te is panaszkodol, mondá az öreg asszony; oh Istenem, hátha még olyan szerencsétlenségeken mentél volna át, mint én."	- Cầu Chúa cho được như vậy, nhưng em đã quá khổ sở nên lòng em đóng kín, không còn để cho hy vọng nào lọt vào. Bà già xen vào nói:
- Kisasszonykám, válaszolt az öreg asszony, te nem is sejted az én származásomat; és ha megmutatnám neked az ülepemet, nem beszélnél igy és nem hamarkodnád el a sorsomról való itéletet."	- Thưa cô nương, bà già đáp, cô nương không biết dòng dõi của tôi; nếu tôi nói rõ ra thì chắc là cô nương phải ngưng hết lời phán đoán của cô nương.
TIZENEGYEDIK FEJEZET.	CU CHUYỆM CỦA BÀ GIÀ
Az öreg asszony története.	Bà già thuật lại cuộc đời của bà:
Tizennégy éves koromig olyan palotában neveltek, hogy mellette a te német báróidnak kastélyai még istállószámba sem mehettek volna és egyetlen egy ruhámnak több értéke volt, mint Westphalia összes kincseinek.	Tôi được nuôi dưỡng cho tới mười bốn tuổi trong một cung điện mà nếu so sánh thì các lâu đài của hàng nam tước nước Đức của các ông chỉ đáng là chuồng ngựa.
Igy növekedtem szépségben, bájosság­ban, tehetségem kifejtésében, öröm, tisztelet és remény között; akkor már szerelmet keltettem; keblem is kifejlődött s milyen kebel!	Lớn lên, tôi càng đẹp, càng duyên dáng, càng tài ba; ở giữa những cuộc vui chơi, tôi được hưởng những sự tôn kính và có tương lai sán lạn.
fehér és telt, mint a medici Vénuszé!	Lông mày mới đen làm sao!
